,Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip,Condition
149,2018-01-07 05:53:00,52 °F,51 °F,97 %,CALM,0 mph,0 mph,29.25 in,0.0 in,Fair
150,2018-01-07 06:53:00,51 °F,51 °F,100 %,CALM,0 mph,0 mph,29.26 in,0.0 in,Fog
151,2018-01-07 07:53:00,52 °F,52 °F,100 %,NNE,3 mph,0 mph,29.27 in,0.0 in,Fog
152,2018-01-07 08:53:00,52 °F,52 °F,100 %,CALM,0 mph,0 mph,29.28 in,0.0 in,Fog
153,2018-01-07 09:53:00,59 °F,55 °F,87 %,SW,5 mph,0 mph,29.29 in,0.0 in,Fair
154,2018-01-07 10:53:00,65 °F,54 °F,68 %,CALM,0 mph,0 mph,29.27 in,0.0 in,Fair
155,2018-01-07 11:53:00,68 °F,51 °F,55 %,CALM,0 mph,0 mph,29.24 in,0.0 in,Fair
156,2018-01-07 12:53:00,72 °F,50 °F,46 %,W,5 mph,0 mph,29.21 in,0.0 in,Fair
157,2018-01-07 13:53:00,74 °F,47 °F,38 %,WSW,6 mph,0 mph,29.18 in,0.0 in,Fair
158,2018-01-07 14:53:00,75 °F,44 °F,33 %,CALM,0 mph,0 mph,29.17 in,0.0 in,Fair
159,2018-01-07 15:53:00,73 °F,52 °F,48 %,S,7 mph,0 mph,29.16 in,0.0 in,Fair
160,2018-01-07 16:53:00,70 °F,55 °F,59 %,SE,6 mph,0 mph,29.17 in,0.0 in,Fair
161,2018-01-07 17:53:00,67 °F,56 °F,68 %,E,5 mph,0 mph,29.18 in,0.0 in,Fair
162,2018-01-07 18:53:00,66 °F,57 °F,73 %,CALM,0 mph,0 mph,29.18 in,0.0 in,Haze
163,2018-01-07 19:53:00,66 °F,56 °F,70 %,CALM,0 mph,0 mph,29.19 in,0.0 in,Cloudy
164,2018-01-07 20:53:00,66 °F,51 °F,59 %,W,6 mph,0 mph,29.18 in,0.0 in,Cloudy
165,2018-01-07 21:53:00,64 °F,58 °F,80 %,CALM,0 mph,0 mph,29.18 in,0.0 in,Haze
166,2018-01-07 22:53:00,63 °F,57 °F,81 %,SE,3 mph,0 mph,29.18 in,0.0 in,Haze
167,2018-01-07 23:53:00,64 °F,56 °F,75 %,CALM,0 mph,0 mph,29.16 in,0.0 in,Cloudy
168,2018-01-08 00:53:00,63 °F,57 °F,81 %,NNW,3 mph,0 mph,29.16 in,0.0 in,Cloudy
169,2018-01-08 01:53:00,63 °F,55 °F,75 %,WSW,3 mph,0 mph,29.15 in,0.0 in,Cloudy
170,2018-01-08 02:53:00,63 °F,52 °F,67 %,W,5 mph,0 mph,29.13 in,0.0 in,Cloudy
171,2018-01-08 03:53:00,62 °F,57 °F,84 %,CALM,0 mph,0 mph,29.11 in,0.0 in,Cloudy
172,2018-01-08 04:53:00,61 °F,56 °F,83 %,WNW,5 mph,0 mph,29.12 in,0.0 in,Light Rain
173,2018-01-08 05:53:00,61 °F,57 °F,87 %,W,5 mph,0 mph,29.14 in,0.0 in,Cloudy
174,2018-01-08 06:53:00,60 °F,56 °F,86 %,N,6 mph,0 mph,29.14 in,0.0 in,Cloudy
175,2018-01-08 07:53:00,60 °F,59 °F,96 %,CALM,0 mph,0 mph,29.13 in,0.0 in,Cloudy
176,2018-01-08 08:53:00,61 °F,59 °F,93 %,SW,6 mph,0 mph,29.14 in,0.0 in,Cloudy
177,2018-01-08 09:53:00,63 °F,57 °F,81 %,NW,6 mph,0 mph,29.14 in,0.0 in,Cloudy
178,2018-01-08 10:53:00,65 °F,58 °F,78 %,NNW,3 mph,0 mph,29.11 in,0.0 in,Cloudy
179,2018-01-08 11:53:00,64 °F,58 °F,80 %,WSW,5 mph,0 mph,29.08 in,0.0 in,Cloudy
180,2018-01-08 12:53:00,63 °F,58 °F,84 %,CALM,0 mph,0 mph,29.07 in,0.0 in,Light Rain
181,2018-01-08 13:53:00,62 °F,59 °F,90 %,SE,12 mph,0 mph,29.07 in,0.0 in,Light Rain
182,2018-01-08 14:53:00,60 °F,59 °F,96 %,S,6 mph,0 mph,29.07 in,0.1 in,Light Rain
183,2018-01-08 15:53:00,61 °F,59 °F,93 %,SE,12 mph,0 mph,29.06 in,0.1 in,Light Rain
184,2018-01-08 16:53:00,59 °F,59 °F,100 %,ESE,10 mph,0 mph,29.05 in,0.2 in,Rain
185,2018-01-08 17:53:00,59 °F,59 °F,100 %,SSE,13 mph,0 mph,29.05 in,0.0 in,Light Rain
186,2018-01-08 18:53:00,60 °F,58 °F,93 %,SE,12 mph,0 mph,29.03 in,0.0 in,Mostly Cloudy
187,2018-01-08 19:53:00,60 °F,58 °F,93 %,SE,13 mph,0 mph,29.01 in,0.0 in,Cloudy
188,2018-01-08 20:53:00,61 °F,57 °F,87 %,SSE,9 mph,0 mph,28.99 in,0.0 in,Light Rain
189,2018-01-08 21:53:00,62 °F,56 °F,80 %,SSE,9 mph,0 mph,28.99 in,0.0 in,Cloudy
190,2018-01-08 22:53:00,62 °F,56 °F,80 %,SE,12 mph,0 mph,28.98 in,0.0 in,Cloudy
191,2018-01-08 23:53:00,60 °F,56 °F,86 %,SE,13 mph,0 mph,28.96 in,0.0 in,Light Rain
192,2018-01-09 00:53:00,58 °F,58 °F,100 %,SE,16 mph,24 mph,28.95 in,0.1 in,Light Rain
193,2018-01-09 01:53:00,57 °F,57 °F,100 %,SE,12 mph,24 mph,28.92 in,0.1 in,Heavy Rain
194,2018-01-09 02:53:00,59 °F,58 °F,96 %,ESE,17 mph,28 mph,28.87 in,0.0 in,Light Rain
195,2018-01-09 03:53:00,58 °F,58 °F,100 %,SE,18 mph,25 mph,28.83 in,0.0 in,Light Rain
196,2018-01-09 04:53:00,57 °F,57 °F,100 %,ESE,21 mph,33 mph,28.79 in,0.1 in,Light Rain / Windy
197,2018-01-09 05:53:00,56 °F,56 °F,100 %,SSW,26 mph,35 mph,28.81 in,0.1 in,Heavy Rain / Windy
198,2018-01-09 06:53:00,53 °F,53 °F,100 %,NNE,5 mph,0 mph,28.89 in,0.3 in,Light Rain
199,2018-01-09 07:53:00,54 °F,52 °F,93 %,SE,6 mph,0 mph,28.91 in,0.0 in,Cloudy
200,2018-01-09 08:53:00,52 °F,52 °F,100 %,SSW,6 mph,0 mph,28.95 in,0.0 in,Light Rain
201,2018-01-09 09:53:00,54 °F,53 °F,97 %,ESE,14 mph,24 mph,28.97 in,0.0 in,Light Rain
202,2018-01-09 10:53:00,54 °F,53 °F,97 %,E,12 mph,0 mph,28.96 in,0.2 in,Heavy Rain
203,2018-01-09 11:53:00,56 °F,54 °F,93 %,SSE,9 mph,0 mph,28.93 in,0.1 in,Light Rain
204,2018-01-09 12:53:00,54 °F,53 °F,97 %,SE,13 mph,0 mph,28.90 in,0.1 in,T-Storm
205,2018-01-09 13:53:00,54 °F,54 °F,100 %,SE,15 mph,0 mph,28.88 in,0.2 in,Rain
206,2018-01-09 14:53:00,53 °F,53 °F,100 %,SSE,7 mph,0 mph,28.88 in,0.3 in,Heavy Rain
207,2018-01-09 15:53:00,54 °F,53 °F,97 %,E,8 mph,0 mph,28.89 in,0.1 in,Light Rain
208,2018-01-09 16:53:00,53 °F,52 °F,96 %,WSW,6 mph,0 mph,28.92 in,0.0 in,Mostly Cloudy
